Product,Price,fecha
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-25 02:48:40.063279
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-25 13:26:50.927422
Nipagin Metilparabeno,23193.41,
Carbopol Acrypol 940,24089.11,
Trietanolamina 85%,7338.45,
Glicerina Refinada Alimenticia,6321.29,
COSTO_POTE,1059.6883,2026-03-26 02:55:25.468488
Nipagin Metilparabeno,23029.08,
Carbopol Acrypol 940,23918.43,
Trietanolamina 85%,7138.35,
Glicerina Refinada Alimenticia,6107.43,
COSTO_POTE,1044.25065,2026-03-26 13:44:39.497881
Nipagin Metilparabeno,23029.08,
Carbopol Acrypol 940,23918.43,
Trietanolamina 85%,7138.35,
Glicerina Refinada Alimenticia,6107.43,
COSTO_POTE,1044.25065,2026-03-27 03:16:16.944984
Nipagin Metilparabeno,22864.76,
Carbopol Acrypol 940,23747.76,
Trietanolamina 85%,7087.53,
Glicerina Refinada Alimenticia,6070.22,
COSTO_POTE,1036.96155,2026-03-27 13:22:10.699118
Nipagin Metilparabeno,22864.76,
Carbopol Acrypol 940,23747.76,
Trietanolamina 85%,7087.53,
Glicerina Refinada Alimenticia,6070.22,
COSTO_POTE,1036.96155,2026-03-28 02:47:21.660285
Nipagin Metilparabeno,23111.16,
Carbopol Acrypol 940,24003.69,
Trietanolamina 85%,7163.67,
Glicerina Refinada Alimenticia,6135.02,
COSTO_POTE,1048.1153,2026-03-28 13:10:02.634490
Nipagin Metilparabeno,23111.16,
Carbopol Acrypol 940,24003.69,
Trietanolamina 85%,7163.67,
Glicerina Refinada Alimenticia,6135.02,
COSTO_POTE,1048.1153,2026-03-29 03:20:41.625442
Nipagin Metilparabeno,23111.16,
Carbopol Acrypol 940,24003.69,
Trietanolamina 85%,7163.67,
Glicerina Refinada Alimenticia,6135.02,
COSTO_POTE,1048.1153,2026-03-29 13:11:06.183282
Nipagin Metilparabeno,23111.16,
Carbopol Acrypol 940,24003.69,
Trietanolamina 85%,7163.67,
Glicerina Refinada Alimenticia,6135.02,
COSTO_POTE,1048.1153,2026-03-30 03:23:49.073206
Nipagin Metilparabeno,23111.16,
Carbopol Acrypol 940,24003.69,
Trietanolamina 85%,7163.67,
Glicerina Refinada Alimenticia,6135.02,
COSTO_POTE,1048.1153,2026-03-30 13:50:05.104809
Nipagin Metilparabeno,23111.16,
Carbopol Acrypol 940,24003.69,
Trietanolamina 85%,7163.67,
Glicerina Refinada Alimenticia,6135.02,
COSTO_POTE,1048.1153,2026-03-31 02:56:34.825730
Nipagin Metilparabeno,23357.55,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,7239.81,
Glicerina Refinada Alimenticia,6199.81,
COSTO_POTE,1059.2685,2026-03-31 13:49:25.109400
Nipagin Metilparabeno,23357.55,
Carbopol Acrypol 940,24259.61,
Trietanolamina 85%,7239.81,
Glicerina Refinada Alimenticia,6199.81,
COSTO_POTE,1059.2685,2026-04-01 03:27:46.674897
Nipagin Metilparabeno,23111.16,
Carbopol Acrypol 940,24003.69,
Trietanolamina 85%,7163.67,
Glicerina Refinada Alimenticia,6135.02,
COSTO_POTE,1048.1153,2026-04-01 13:52:44.175451
Nipagin Metilparabeno,23111.16,
Carbopol Acrypol 940,24003.69,
Trietanolamina 85%,7163.67,
Glicerina Refinada Alimenticia,6135.02,
COSTO_POTE,1048.1153,2026-04-02 02:53:00.710937
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-02 13:42:48.938318
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-03 02:55:27.010889
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-03 13:19:02.190845
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-04 02:46:03.244275
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-04 13:11:04.517650
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-05 03:22:33.759993
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-05 13:12:50.665024
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-06 03:25:55.171437
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-06 13:25:25.941370
Nipagin Metilparabeno,23275.48,
Carbopol Acrypol 940,24174.36,
Trietanolamina 85%,7214.49,
Glicerina Refinada Alimenticia,6178.27,
COSTO_POTE,1055.5554,2026-04-07 03:16:19.705939
Nipagin Metilparabeno,23280.62,
Carbopol Acrypol 940,24179.5,
Trietanolamina 85%,7219.62,
Glicerina Refinada Alimenticia,6183.41,
COSTO_POTE,1055.96635,2026-04-07 13:47:39.109121
Nipagin Metilparabeno,23280.62,
Carbopol Acrypol 940,24179.5,
Trietanolamina 85%,7219.62,
